sentence,text_processed,true_label,tuned_pred,tuned_correct,word_count,confidence,base_pred,base_correct
nói tiếng anh lưu loát .,nói tiếng anh lưu loát .,positive,positive,True,6,0.9046691259352057,positive,True
giáo viên rất vui tính .,giáo viên rất vui tính .,positive,positive,True,6,0.9992381437847393,positive,True
cô max có tâm .,cô max có tâm .,positive,positive,True,5,0.998619124197915,positive,True
"giảng bài thu hút , dí dỏm .","giảng bài thu hút , dí dỏm .",positive,positive,True,8,0.8651644240740821,positive,True
"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,negative,True,17,0.6091399628018368,negative,True
thầy dạy nhiệt tình và tâm huyết .,thầy dạy nhiệt tình và tâm huyết .,positive,positive,True,8,0.999659545678449,positive,True
tính điểm thi đua các nhóm .,tính điểm thi đua các nhóm .,positive,neutral,False,7,0.4628413839627143,neutral,False
thầy nhiệt tình giảng lại cho học sinh .,thầy nhiệt tình giảng lại cho học sinh .,positive,positive,True,9,0.9983091541184332,positive,True
có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,negative,negative,True,13,0.9976996892989195,negative,True
"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,positive,True,21,0.9908650212563845,positive,True
giảng viên nhiệt tình trong công tác giảng dạy .,giảng viên nhiệt tình trong công tác giảng dạy .,positive,positive,True,10,0.9940023116901615,positive,True
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .","cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",positive,positive,True,12,0.9999970998718063,positive,True
trong trường macbook thầy số hai thì không có máy nào số một .,trong trường macbook thầy số hai thì không có máy nào số một .,positive,negative,False,14,0.9909248126951149,negative,False
sinh viên không tiếp thu kịp cũng như không hiểu gì .,sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,negative,True,12,0.9565321142567554,negative,True
thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,positive,positive,True,13,0.9992885155002014,positive,True
thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,positive,positive,True,12,0.9964804981678962,positive,True
giảng viên giải thích kỹ và chi tiết .,giảng viên giải thích kỹ và chi tiết .,positive,positive,True,9,0.9887309587348591,positive,True
"thầy dạy rất chi tiết , lý thuyết đầy đủ .","thầy dạy rất chi tiết , lý thuyết đầy đủ .",positive,positive,True,11,0.9985516461729599,positive,True
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .","còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",negative,negative,True,15,0.9603955977110334,negative,True
cung cấp kiến thức bổ ích .,cung cấp kiến thức bổ ích .,positive,positive,True,7,0.9909324069640917,positive,True
bắt đầu buổi học đúng giờ .,bắt đầu buổi học đúng giờ .,positive,positive,True,7,0.8188302393944014,positive,True
"giảng dạy dễ hiểu , tận tâm !","giảng dạy dễ hiểu , tận tâm !",positive,positive,True,8,0.999870908322122,positive,True
"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .","giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",positive,positive,True,12,0.9997836636309513,positive,True
nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,negative,negative,True,15,0.9128920614039017,negative,True
giảng viên dạy sôi nổi .,giảng viên dạy sôi nổi .,positive,positive,True,6,0.831682698923742,positive,True
em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,em học bên chất lượng cao mà phòng máy không cung cấp đủ máy vì máy hư hoặc không cài chương trình .,negative,negative,True,23,0.9848345953435391,negative,True
chưa giỏi chuyên môn cho lắm .,chưa giỏi chuyên môn cho lắm .,negative,negative,True,7,0.9878135341994149,negative,True
cách mà cô tiếp cận với sinh viên .,cách mà cô tiếp cận với sinh viên .,neutral,positive,False,9,0.7891410398824739,positive,False
"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .","trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",positive,positive,True,13,0.9984242051276249,positive,True
"giảng viên tận tâm , gần gũi với học sinh .","giảng viên tận tâm , gần gũi với học sinh .",positive,positive,True,11,0.9991789632471391,positive,True
thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,positive,positive,True,16,0.9411599585462648,positive,True
"phòng học thoáng mát , trang thiết bị đầy đủ .","phòng học thoáng mát , trang thiết bị đầy đủ .",positive,negative,False,11,0.559464038900868,negative,False
thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .,thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .,positive,positive,True,16,0.9999332603501812,positive,True
không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,negative,negative,True,14,0.8907637413889922,negative,True
giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .,giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .,negative,positive,False,13,0.47139863851038977,positive,False
môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,neutral,positive,False,14,0.8244874314232724,positive,False
giáo trình chưa có hợp lý .,giáo trình chưa có hợp lý .,negative,negative,True,7,0.9920822141535152,negative,True
mong thầy xem xét lại việc nộp bài !,mong thầy xem xét lại việc nộp bài !,negative,negative,True,9,0.9736154338948447,negative,True
"cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .","cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .",positive,positive,True,36,0.9996713225169277,positive,True
cung cấp bài tập đa dạng .,cung cấp bài tập đa dạng .,positive,positive,True,7,0.9815935548787713,positive,True
hay gõ micro vào bảng hoặc bàn .,hay gõ micro vào bảng hoặc bàn .,negative,negative,True,8,0.9350335381879736,negative,True
ổn .,ổn .,neutral,positive,False,2,0.5060155772198324,positive,False
"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .","tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .",negative,negative,True,22,0.9814299825282471,negative,True
"cô vui tính , học không áp lực .","cô vui tính , học không áp lực .",positive,positive,True,9,0.8693784370992517,positive,True
cô dạy rất tốt và nhiệt tình .,cô dạy rất tốt và nhiệt tình .,positive,positive,True,8,0.999985920792397,positive,True
phần lớn chỉ là lý thuyết và bài tập .,phần lớn chỉ là lý thuyết và bài tập .,positive,negative,False,10,0.6903682876396149,negative,False
thầy nhiệt tình trả lời thắc mắc của sinh viên .,thầy nhiệt tình trả lời thắc mắc của sinh viên .,positive,positive,True,11,0.9978041208391791,positive,True
thiết bị phòng học như quạt máy cần phải đầu tư thêm .,thiết bị phòng học như quạt máy cần phải đầu tư thêm .,negative,negative,True,13,0.9997186057818451,negative,True
"cô nhiệt tình , giảng bài hiệu quả .","cô nhiệt tình , giảng bài hiệu quả .",positive,positive,True,9,0.9998492652330438,positive,True
"khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .","khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .",negative,negative,True,15,0.9885639448598004,negative,True
không biết được chính xác bao giờ học thật để đi học .,không biết được chính xác bao giờ học thật để đi học .,negative,negative,True,13,0.57660189022672,negative,True
thầy chỉ giao bài tập trên courses .,thầy chỉ giao bài tập trên courses .,negative,negative,True,8,0.9319985807252528,negative,True
"dạy dễ hiểu , vui tính .","dạy dễ hiểu , vui tính .",positive,positive,True,7,0.9999569094634969,positive,True
như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,neutral,negative,False,18,0.8475608850867351,negative,False
"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .","sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ 8h30 vào lớp 12h về .",negative,negative,True,21,0.9993951094933463,negative,True
"ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .","ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là khủng , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .",positive,negative,False,33,0.9848388233823343,negative,False
"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .","giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .",positive,positive,True,13,0.999995117176959,positive,True
đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,positive,negative,False,17,0.6984373081475048,negative,False
"thầy dạy chi tiết , giảng giải kỹ .","thầy dạy chi tiết , giảng giải kỹ .",positive,positive,True,9,0.9763742045363011,positive,True
nhiệt tình tốt giúp sinh viên năng động .,nhiệt tình tốt giúp sinh viên năng động .,positive,positive,True,9,0.9999058042241029,positive,True
giảng viên cho bài tập nhiều đầy đủ .,giảng viên cho bài tập nhiều đầy đủ .,positive,positive,True,9,0.9598261896149316,positive,True
up các bài giảng đầy đủ .,up các bài giảng đầy đủ .,positive,positive,True,7,0.8348443811758705,positive,True
"thầy hiền , giảng bài tương đối dễ hiểu .","thầy hiền , giảng bài tương đối dễ hiểu .",positive,positive,True,10,0.9932548170998519,positive,True
rất thực tế không dài dòng .,rất thực tế không dài dòng .,positive,positive,True,7,0.5028664830996679,positive,True
"cô dạy hay , em không có ý kiến .","cô dạy hay , em không có ý kiến .",positive,neutral,False,10,0.8492644709649734,neutral,False
nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,positive,positive,True,15,0.9969864611965281,positive,True
"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .","tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .",positive,positive,True,14,0.9966021726907299,positive,True
"thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .","thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .",negative,positive,False,14,0.8325257232206387,positive,False
"sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .","sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .",positive,positive,True,14,0.9992377230769176,positive,True
tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,positive,positive,True,14,0.5475750248898059,positive,True
"dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .","dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .",positive,positive,True,17,0.999752139693344,positive,True
"giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .","giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .",positive,positive,True,22,0.9002737452006897,positive,True
thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .,thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .,positive,positive,True,28,0.7626670968124073,positive,True
"thầy dạy dễ hiểu , tận tâm , nhiệt tình .","thầy dạy dễ hiểu , tận tâm , nhiệt tình .",positive,positive,True,11,0.9999919161122532,positive,True
"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .","thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .",positive,positive,True,23,0.9869681924063733,positive,True
giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .,giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .,negative,negative,True,19,0.5413923591227745,negative,True
thời lượng kiến thức trong một buổi học quá dài .,thời lượng kiến thức trong một buổi học quá dài .,negative,negative,True,11,0.9559266395407393,negative,True
"slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .","slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .",negative,negative,True,16,0.9930350342325028,negative,True
"nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .","nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .",negative,negative,True,14,0.9971591241846107,negative,True
giảng bài xúc tích .,giảng bài xúc tích .,positive,positive,True,5,0.8670692105252237,positive,True
