sentence,cleaned_text,sentiment,topic
slide giáo trình đầy đủ .,slide giáo trình đầy đủ .,2,1
"nhiệt tình giảng dạy , gần gũi với sinh viên .","nhiệt tình giảng dạy , gần gũi với sinh viên .",2,0
đi học đầy đủ full điểm chuyên cần .,đi học đầy đủ full điểm chuyên cần .,0,1
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .","thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,0
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .","giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .","em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,3
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .","thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .","nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1
thầy rất tận tình và đi dạy rất đúng giờ .,thầy rất tận tình và đi dạy rất đúng giờ .,2,0
dễ bị áp lực .,dễ bị áp lực .,0,3
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .","đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0
môn học còn dễ cần nâng độ khó lên nữa .,môn học còn dễ cần nâng độ khó lên nữa .,0,1
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .","có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1
hài lòng về tất cả .,hài lòng về tất cả .,2,3
"nhiệt tình , vui vẻ .","nhiệt tình , vui vẻ .",2,0
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,0
phong cách giảng bài của thầy rất gần gũi với sinh viên !,phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,0
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1
tiết học thoải mái .,tiết học thoải mái .,2,0
"thầy nhiệt tình , quan tâm tới sinh viên .","thầy nhiệt tình , quan tâm tới sinh viên .",2,0
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !","giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,0
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .","chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,1
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0
nên biên soạn một tài liệu của chính trường ta .,nên biên soạn một tài liệu của chính trường ta .,0,1
không giúp đỡ sinh viên trong những vấn đề xung quanh .,không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0
"bài tập đa dạng , cụ thể .","bài tập đa dạng , cụ thể .",2,1
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .","nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1
slide up đầy đủ trước mỗi buổi học .,slide up đầy đủ trước mỗi buổi học .,2,1
"nội dung giảng dạy quá nhàm chán , khô khan .","nội dung giảng dạy quá nhàm chán , khô khan .",0,1
lượng kiến thức quá nhiều trong một học kỳ .,lượng kiến thức quá nhiều trong một học kỳ .,0,1
thầy chép bảng nhiều .,thầy chép bảng nhiều .,0,0
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .","thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,0
"chúc các thầy cô , anh chị làm việc vui vẻ !","chúc các thầy cô , anh chị làm việc vui vẻ !",2,3
"hay , nhiệt tình , dễ hiểu .","hay , nhiệt tình , dễ hiểu .",2,0
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .","mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,0
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !","thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,0
hy vọng học kỳ sau có thể học được với cô .,hy vọng học kỳ sau có thể học được với cô .,2,0
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,1
trong khi giảng nói nhỏ quá .,trong khi giảng nói nhỏ quá .,0,0
thực hành khó hiểu .,thực hành khó hiểu .,0,1
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .","thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,0
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .","cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,0
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .","cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,0
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .","những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0
"thầy nhiệt tình , dễ chịu .","thầy nhiệt tình , dễ chịu .",2,0
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .","giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,0
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,0
cô rất nhiệt tình và tận dụng tốt thời gian .,cô rất nhiệt tình và tận dụng tốt thời gian .,2,1
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .","giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,0
"thầy nhiệt tình , gần gũi .","thầy nhiệt tình , gần gũi .",2,0
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .","giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,0
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,0
bài tập và có code tham khảo .,bài tập và có code tham khảo .,2,1
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .","cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,2
tài liệu không chi tiết lắm .,tài liệu không chi tiết lắm .,0,1
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .","tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,0
